#################################################################################
#
# This file is an extension for the 'parameterDef_fmi.csv' file. You can add your
# own parameter definitions here. They will be not overridden.
#
# FIELDS:
# 1) FmiParameterId
# 2) FmiParameterName
# 3) FmiParameterDescription
# 4) AreaInterpolationMethod
# 5) TimeInterpolationMethod
# 6) LevelInterpolationMethod
# 7) DefaultPrecision
#
#################################################################################
10301220;MIR;Medium infrared radiance;1;1;;;
10301200;SRB0;Band 0 surface reflectance;1;1;;;
10301201;SRB1;Band 0 surface reflectance;1;1;;;
10301202;SRB2;Band 0 surface reflectance;1;1;;;
10301203;SRB3;Band 0 surface reflectance;1;1;;;
10301204;SRB4;Band 0 surface reflectance;1;1;;;
10301205;SRB5;Band 0 surface reflectance;1;1;;;
10301206;SRB6;Band 0 surface reflectance;1;1;;;
10301207;SRB7;Band 0 surface reflectance;1;1;;;
10301208;SRB8;Band 0 surface reflectance;1;1;;;
10301209;SRB9;Band 0 surface reflectance;1;1;;;

#################################################################################
# Defining additional FMI parameters for GRIB parameters that do not yet have 
# matching FMI parameters. We are using FMI identifiers that are calculated
# directly from the grib identifiers (fmi-id = 10000000 + grib-id). Let's 
# use "X-" prefix in the fmi-names in order to indicate that these names are
# our own "extensions". 
#
# Notice that in this file we only define the basic information of the parameters.
# After that we can be map different kinds of parameters identifiers to these
# parameters. For example, we map grib identifiers into these FMI identifiers
# in the "fmi_parameterId_grib.csv" file.

#################################################################################

10000032;ASN-0TO1;0to1;Snow albedo (0-1);
10000044;ES-M;m;Snow evaporation (m of water equivalent);
10000045;SMLT-M;m;Snowmelt (m of water equivalent);
10228100;EVATC-M;m;Evaporation from the top of canopy (m of water equivalent);
10228101;EVABS-M;m;Evaporation from bare soil (m of water equivalent);
10228102;EVAOW-M;m;Evaporation from open water surfaces excluding oceans (m of water equivalent);
10228103;EVAVT-M;m;Evaporation from vegetation transpiration (m of water equivalent);
10260038;SNOW-PERC;260038;%;Snow cover (%);
10228040;SWI1;;Soil wetness index layer 1;
10228041;SWI2;;Soil wetness index layer 2;
10228042;SWI3;;Soil wetness index layer 3;
10228043;SWI4;;Soil wetness index layer 4;
10000165;U10-MS;m/s;10 metre U wind component;
10000166;V10-MS;m/s;10 metre V wind component;
10228001;CIN-JKG;J kg-1;Convective inhibition;
10260121;KX;;K index;
10000196;MGWS-NM2S;N m-2 s;Northward gravity wave surface stress;
10228251;PEV-M;m;Potential evaporation;
10000210;SSRC-JM2;J m-2;Surface net solar radiation, clear sky;
10000211;STRC-JM2; J m-2;Surface net thermal radiation, clear sky;
10000168;TD2-K;K;2 metre dewpoint temperature;
10000060;PV-KM2KGS;K m2 kg-1 s-1;Potential vorticity;
10000160;SDOR-M;m;Standard devitaion of orography;
10000161;ISOR;;Anisotropy of sub-gridscale orography;
10000162;ANOR-RAD;rad;Angle of sub-gridscale orography;
10000163;SLOR;;Slope of sub-gridscale orography;
10000026;CL-0TO1;0to1;Lake cover (0-1);
10228007;DL-M;m;Lake total depth;
10228012;LSHF;;Lake shape factor (dimensionless);
10000074;SDFOR-M;m;Standard deviation of filtered subgrid orography;
10000002;VP-M2S;m2 s-1; Velocity potential;
