# This file is used by the "filesys2smartmet" program. It defines the producer
# information when the content information is read from the file system.
#
# FIELDS:
# 1. Producer abbr
# 2. Producer name
# 3. Producer title
# 4. Producer desciption
#
ERA5;ERA5;ERA5;Era5 data from ECMWF
CAMS;CAMS;CAMS;CAMS data from Copernicus Atmosphere service
ERA5L;ERA5L;ERA5L;ERA5 Land data from ECMWF
ECSF;ECSF;EC-C3S-SF;C3S seasonal forecast data from ECMWF
ECBSF;ECBSF;EC-C3S-BSF;Bias adjusted C3S seasonal forecast data
ECB2SF;ECB2SF;EC-C3S-B2SF;2nd method Bias adjusted C3S seasonal forecast data
SWI;SWI;SWI;Copernicus land Soil wetness index
S5P;S5P;S5P;Sentinel-5Precursor level 2
ECMARK5;ECMARK5;ECMARK5;EFFIS Australian fire weather indices
ECFWI;ECFWI;ECFWI;EFFIS Canadian fire weather indices
